애플 아이폰14프로 새상품/미개봉/미개통/,"1,463,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""96d4b4a3-a1ac-4723-8d1a-813eccaabae3"")>>"
애플 아이폰14 프로맥스 256GB 미개통 새상품,"1,740,640원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""5f3bda6a-b374-417b-9a04-ef009408e951"")>>"
아이폰14플러스 새상품/미개봉/자급제,"1,142,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""03f3793f-c277-4e89-b248-eee79ee13740"")>>"
아이폰14 새상품/미개봉/자급제,"993,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""4e6ba9f1-3e37-45c4-8a5b-b82ac1d8e808"")>>"
[자급제] 애플 아이폰 14 프로 256기가 딥 퍼플 (국내 정식 발매 제품) MQ1F3KH/A,"1,780,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""6743b31f-7914-4b0b-b6db-d94dbb167837"")>>"
[루비애플] 아이폰 14 256GB 자급제 레드 6.1인치 IOS 16 램6G GS,"1,610,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""7f40a4ef-a532-461f-939e-2d5c407fa03f"")>>"
애플 아이폰14 프로 128GB 미개통 새상품,"1,416,800원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""4b0ca3b6-6c93-451c-8139-bc71b13a54bb"")>>"
애플 애플 아이폰14프로 새상품 미개봉 미개통 128G 256G,"473,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""816517c6-a9dd-4fbe-bf4d-b4ae5ef299cb"")>>"
해외홍콩 아이폰14 프로 프로맥스 직구 물리적듀얼심 카메라 무음 자급제,"1,680,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""ea861071-47b1-40cd-8873-440dfd83fcfd"")>>"
애플 아이폰14플러스 256GB 미개통 새제품,"1,161,960원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""7a39846c-4ad6-4263-b1c4-f82f6f74ef22"")>>"
아이폰 Apple 아이폰14 플러스 128GB 기기값 99만원,"992,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""7b9f7a93-f091-41b0-b2d3-69ddbc91d52d"")>>"
해외아이폰14프로맥스 홍콩판 물리듀얼심 무음 언락폰 공기계 자급제 A2896 미개봉미활성화,"1,720,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""0db4cf3a-f027-43de-8bc0-5584afb1ef99"")>>"
애플 아이폰 14 프로맥스 128GB LGT IPHONE 14 PROMAX 미개봉 새제품,"1,519,050원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""bbd54b96-b39c-473c-a46e-428983451069"")>>"
(국내정식발매품당일발송) 애플 아이폰 14 프로 128기가 256기가 512기가 스페이스 블랙 자급제 공기계,"1,759,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""75deba7b-8797-459e-bc83-20d2bb0ffb03"")>>"
애플 아이폰 14 프로 1TB 스페이스블랙,"1,933,390원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""cace6da2-1150-4daf-b3ec-5a1940dfe888"")>>"
기가차넷 아이폰14 pro 256GB 기기변경 미개봉 공기계,"1,394,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""912d4452-b6a3-4c04-8c37-b081c44ad52f"")>>"
(국내정식발매품당일발송) 애플 아이폰 14 프로 125 256 512 기가 실버 자급제 공기계,"1,729,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""d387ebb3-378e-47c9-9f86-efa91f2700b1"")>>"
(픽업전용)iPhone 14 자급제 128GB 레드(MPVA3KH/A),"1,250,000원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""744187e0-c1e7-487a-9d34-895a98b6d512"")>>"
Apple 아이폰 14 512GB [자급제],"1,529,910원","<bound method WebElement.get_attribute of <selenium.webdriver.remote.webelement.WebElement (session=""06eff7b5052a64127b75413d78e2f328"", element=""74dc43c1-ef3a-4d67-ab23-2dd0962dceaf"")>>"
